info,to_margin,ypp_margin,yds_margin,result
Northern Illinois @ Nebraska: 8-44,-1,3.76,175,1
Connecticut @ Indiana: 3-38,1,3.54,285,1
Michigan State @ Northwestern: 31-10,2,-1.23,-52,0
Michigan @ Wisconsin: 14-35,-4,1.77,188,1
Miami (OH) @ Ohio State: 5-76,-2,6.28,471,1
Nebraska @ Illinois: 42-38,-3,-2.14,-391,0
Penn State @ Maryland: 59-0,2,-5.44,-491,0
Middle Tennessee @ Iowa: 3-48,0,3.81,428,1
Rutgers @ Michigan: 0-52,0,4.13,324,1
Northwestern @ Wisconsin: 15-24,-1,0.98,-12,1
Indiana @ Michigan State: 31-40,-1,1.23,86,1
Minnesota @ Purdue: 38-31,2,-3.67,-74,0
Ohio State @ Nebraska: 48-7,3,-3.61,-349,0
Purdue @ Penn State: 7-35,2,4.47,367,1
Maryland @ Rutgers: 48-7,2,-3.54,-176,0
Iowa @ Michigan: 3-10,-3,0.9,6,1
Illinois @ Minnesota: 17-40,1,3.3,239,1
Northwestern @ Nebraska: 10-13,-1,0.89,26,1
Michigan State @ Ohio State: 10-34,-1,2.76,244,1
Rutgers @ Indiana: 0-35,1,6.0,482,1
Maryland @ Purdue: 14-40,-1,0.81,144,1
Michigan @ Illinois: 42-25,0,-3.38,-233,0
Michigan State @ Wisconsin: 0-38,-2,3.08,253,1
Nebraska @ Minnesota: 7-34,0,3.11,151,1
Penn State @ Iowa: 17-12,2,0.88,52,0
Ohio State @ Northwestern: 52-3,2,-4.85,-283,0
Purdue @ Iowa: 20-26,-1,0.19,2,1
Wisconsin @ Illinois: 23-24,-2,0.03,-105,1
Minnesota @ Rutgers: 42-7,3,-2.87,-254,0
Indiana @ Maryland: 34-28,1,-1.14,-137,0
Michigan @ Penn State: 21-28,-1,0.16,-134,1
Kent State @ Wisconsin: 0-48,0,4.18,396,1
Southern Mississippi @ Alabama: 7-49,-1,4.67,288,1
Texas State @ Texas A&M: 7-41,-2,3.46,274,1
Ole Miss @ Memphis: 10-15,0,1.11,191,1
Toledo @ Kentucky: 24-38,0,1.07,75,1
Mississippi State vs Louisiana: 38-28,3,-1.43,-66,0
Georgia State @ Tennessee: 38-30,2,1.12,52,0
Portland State @ Arkansas: 13-20,-2,1.36,165,1
Georgia Southern @ LSU: 3-55,-2,4.6,374,1
Georgia @ Vanderbilt: 30-6,0,-3.97,-254,0
Missouri @ Wyoming: 31-37,-3,0.74,-148,1
Oregon vs Auburn: 21-27,1,0.36,51,1
New Mexico State @ Alabama: 10-62,-3,5.34,341,1
Murray State @ Georgia: 17-63,0,3.9,277,1
UT Martin @ Florida: 0-45,-1,3.46,349,1
Arkansas @ Ole Miss: 17-31,1,0.88,122,1
Tulane @ Auburn: 6-24,1,1.14,156,1
Eastern Michigan @ Kentucky: 17-38,-1,1.0,75,1
Charleston Southern @ South Carolina: 10-72,-1,7.42,508,1
California @ Ole Miss: 28-20,-1,-0.17,92,0
Tennessee @ Florida: 3-34,-1,1.87,202,1
LSU @ Vanderbilt: 66-38,1,-3.08,-225,0
Auburn @ Texas A&M: 28-20,1,0.84,92,0
Kentucky @ Mississippi State: 13-28,1,1.28,35,1
South Carolina @ Missouri: 14-34,-1,0.67,150,1
San José State @ Arkansas: 31-24,4,-0.95,-16,0
Notre Dame @ Georgia: 17-23,-1,0.48,18,1
Northern Illinois @ Vanderbilt: 18-24,0,0.75,-15,1
Ole Miss @ Alabama: 31-59,0,3.14,97,1
Mississippi State @ Auburn: 23-56,1,3.16,244,1
Kentucky @ South Carolina: 7-24,-1,1.88,175,1
Utah State @ LSU: 6-42,-1,3.68,442,1
Auburn @ Florida: 13-24,0,1.29,144,1
Troy @ Missouri: 10-42,-3,3.83,232,1
Georgia @ Tennessee: 43-14,2,-1.98,-183,0
Vanderbilt @ Ole Miss: 6-31,0,4.64,248,1
Mississippi State @ Tennessee: 10-20,-1,1.55,90,1
South Carolina @ Georgia: 20-17,4,0.56,171,0
Alabama @ Texas A&M: 47-28,0,-1.38,-34,0
Ole Miss @ Missouri: 27-38,1,1.56,122,1
Southern Mississippi @ Mississippi State: 15-38,-3,-0.26,42,1
BYU @ Tennessee: 29-26,1,-0.22,79,0
Chattanooga @ Tennessee: 0-45,-5,3.07,133,1
Arkansas State @ Georgia: 0-55,-1,6.7,436,1
Alabama @ South Carolina: 47-23,2,-3.58,-112,0
Southeastern Louisiana @ Ole Miss: 29-40,-2,0.3,84,1
Colorado State @ Arkansas: 34-55,-1,1.44,95,1
