info,to_margin,ypp_margin,yds_margin,result
Missouri @ Purdue: 40-37,0,1.82,6,0
Akron @ Northwestern: 39-34,2,-0.51,124,0
Ohio State vs TCU: 40-28,3,0.15,-15,0
Penn State @ Illinois: 63-24,0,-2.92,-180,0
Boston College @ Purdue: 13-30,-2,1.76,143,1
Minnesota @ Maryland: 13-42,-3,4.82,169,1
Buffalo @ Rutgers: 42-13,-2,-3.17,-161,0
Central Michigan @ Michigan State: 20-31,-1,0.49,100,1
Indiana @ Rutgers: 24-17,-1,-0.57,-160,0
Purdue @ Nebraska: 42-28,1,0.65,66,0
Michigan @ Northwestern: 20-17,0,-2.49,-174,0
Ohio State @ Penn State: 27-26,0,1.36,103,0
Wisconsin @ Iowa: 28-17,3,0.83,-38,0
Illinois @ Rutgers: 38-17,3,-1.68,-33,0
Northwestern @ Michigan State: 29-19,-1,-0.09,44,0
Maryland @ Michigan: 21-42,0,2.44,245,1
Iowa @ Minnesota: 48-31,2,-0.54,-100,0
Indiana @ Ohio State: 26-49,1,0.83,204,1
Nebraska @ Wisconsin: 24-41,0,-0.21,15,1
Nebraska @ Northwestern: 31-34,-1,-0.34,5,1
Rutgers @ Maryland: 7-34,-4,3.36,196,1
Iowa @ Indiana: 42-16,1,-2.44,-149,0
Minnesota @ Ohio State: 14-30,-3,-0.46,107,1
Michigan State @ Penn State: 21-17,0,1.49,-22,0
Purdue @ Illinois: 46-7,0,-3.57,-361,0
Indiana @ Minnesota: 31-38,1,2.62,100,1
Northwestern @ Minnesota: 24-14,3,-0.85,-19,0
Nebraska @ Iowa: 28-31,-1,0.11,19,1
Michigan @ Michigan State: 21-7,-1,-3.22,-301,0
Rutgers @ Wisconsin: 17-31,2,1.73,140,1
Purdue @ Indiana: 28-21,0,-0.36,47,0
Michigan State @ Maryland: 24-3,0,-3.35,-256,0
Bethune-Cookman @ Nebraska: 9-45,-1,2.24,113,1
Minnesota @ Nebraska: 28-53,0,2.44,185,1
Penn State @ Rutgers: 20-7,1,-0.94,-88,0
Penn State @ Indiana: 33-28,2,-0.17,132,0
Michigan State @ Nebraska: 6-9,0,0.04,-41,1
Wisconsin @ Michigan: 13-38,-2,0.75,161,1
Wisconsin @ Northwestern: 17-31,0,-0.55,26,1
Illinois @ Nebraska: 35-54,-3,2.03,97,1
Michigan @ Ohio State: 39-62,-1,3.32,166,1
Purdue @ Michigan State: 13-23,-2,-0.51,87,1
Nebraska @ Ohio State: 31-36,2,1.19,31,1
Ohio State @ Michigan State: 26-6,2,0.15,-76,0
Maryland @ Indiana: 32-34,-3,-0.0,-168,1
Ohio State @ Maryland: 52-51,-2,1.23,-153,0
Northwestern vs Ohio State: 24-45,-1,0.83,189,1
Ohio State @ Purdue: 20-49,-1,1.88,-5,1
Maryland @ Iowa: 0-23,-1,1.13,195,1
Northwestern @ Rutgers: 18-15,-1,-0.13,-90,0
Illinois @ Wisconsin: 20-49,-3,1.91,245,1
Purdue @ Minnesota: 10-41,0,3.05,182,1
Maryland @ Penn State: 3-38,1,3.92,306,1
Minnesota @ Wisconsin: 37-15,4,0.45,34,0
Michigan @ Rutgers: 42-7,2,-2.01,-201,0
Iowa @ Purdue: 36-38,2,1.19,41,1
Illinois @ Maryland: 33-63,-1,2.96,219,1
Illinois @ Northwestern: 16-24,-1,-0.33,-64,1
Iowa @ Penn State: 24-30,0,1.02,-23,1
Penn State @ Michigan: 7-42,-3,1.75,219,1
Minnesota @ Illinois: 31-55,1,4.51,208,1
Northwestern @ Iowa: 14-10,0,1.26,27,0
Iowa @ Illinois: 63-0,3,-3.53,-164,0
Indiana @ Michigan: 20-31,-1,1.37,122,1
Rutgers @ Michigan State: 10-14,-1,-0.31,93,1
Wisconsin @ Purdue: 47-44,0,-2.03,-129,0
Notre Dame @ Northwestern: 31-21,-1,-2.66,-215,0
Austin Peay @ Georgia: 0-45,0,5.43,356,1
Northwestern State @ Texas A&M: 7-59,1,2.67,507,1
Coastal Carolina @ South Carolina: 15-49,-1,3.45,319,1
Ole Miss vs Texas Tech: 47-27,-1,-3.98,-60,0
Alabama @ LSU: 29-0,0,-4.02,-380,0
Ole Miss @ Vanderbilt: 29-36,-1,-1.69,-191,1
LSU @ Arkansas: 24-17,1,-1.48,-143,0
Charleston Southern @ Florida: 6-53,-3,2.91,219,1
Middle Tennessee @ Vanderbilt: 7-35,-2,2.26,52,1
Central Michigan @ Kentucky: 20-35,4,2.24,172,1
Washington vs Auburn: 16-21,-2,-1.1,18,1
UT Martin @ Missouri: 14-51,-1,2.46,281,1
Eastern Illinois @ Arkansas: 20-55,-5,2.15,76,1
West Virginia vs Tennessee: 40-14,-1,-4.19,-246,0
Auburn @ Georgia: 10-27,1,2.67,242,1
Stephen F. Austin @ Mississippi State: 6-63,-1,5.45,364,1
Louisville vs Alabama: 14-51,-1,3.51,251,1
Miami vs LSU: 17-33,-2,-0.4,-46,1
Nevada @ Vanderbilt: 10-41,-2,2.5,218,1
Mississippi State @ Kansas State: 31-10,0,-4.35,-325,0
LSU @ Auburn: 22-21,2,0.16,-42,0
Georgia @ South Carolina: 41-17,1,-1.72,-137,0
Southern Illinois @ Ole Miss: 41-76,-3,2.88,17,1
East Tennessee State @ Tennessee: 3-59,-3,3.56,220,1
Southeastern Louisiana @ LSU: 0-31,-3,2.75,81,1
Wyoming @ Missouri: 13-40,0,2.33,353,1
Clemson @ Texas A&M: 28-26,2,-0.04,88,0
Alabama State @ Auburn: 9-63,0,4.56,362,1
Kentucky @ Florida: 27-16,0,-2.59,-94,0
Arkansas @ Colorado State: 27-34,0,0.05,-8,1
Middle Tennessee @ Georgia: 7-49,-2,4.41,196,1
UTEP @ Tennessee: 0-24,2,4.79,378,1
Murray State @ Kentucky: 10-48,-1,2.26,226,1
Vanderbilt @ Notre Dame: 17-22,-3,-0.86,-40,1
Georgia @ Missouri: 43-29,2,-2.44,-52,0
Kent State @ Ole Miss: 17-38,-1,4.04,261,1
Texas A&M @ Alabama: 23-45,-2,3.13,131,1
South Carolina @ Vanderbilt: 37-14,-1,-3.14,-250,0
Mississippi State @ Kentucky: 7-28,0,1.48,94,1
Louisiana Tech @ LSU: 21-38,-1,-0.12,-9,1
Arkansas @ Auburn: 3-34,-2,-0.26,-65,1
Florida @ Tennessee: 47-21,5,-2.71,-24,0
Louisiana @ Alabama: 14-56,-2,4.84,320,1
Arkansas vs Texas A&M: 17-24,1,0.63,129,1
Tennessee State @ Vanderbilt: 27-31,2,2.99,180,1
Tennessee @ Georgia: 12-38,-1,1.42,232,1
Florida @ Mississippi State: 13-6,-1,-1.93,-155,0
Southern Mississippi @ Auburn: 13-24,-2,0.94,81,1
South Carolina @ Kentucky: 10-24,-3,0.02,-13,1
Ole Miss @ LSU: 16-45,1,2.89,245,1
Alabama @ Arkansas: 65-31,3,-5.13,-234,0
Missouri @ South Carolina: 35-37,-1,-1.38,-113,1
Louisiana Monroe @ Ole Miss: 21-70,-2,5.85,399,1
LSU @ Florida: 19-27,-2,0.56,20,1
Kentucky @ Texas A&M: 14-20,2,1.64,212,1
Auburn @ Mississippi State: 9-23,-1,0.5,114,1
Vanderbilt @ Georgia: 13-41,0,3.17,239,1
Tennessee @ Auburn: 30-24,3,-0.22,52,0
Florida @ Vanderbilt: 37-27,-2,-0.47,-240,0
Texas A&M @ South Carolina: 26-23,2,-0.31,-159,0
Georgia @ LSU: 16-36,-4,0.83,153,1
Missouri @ Alabama: 10-39,-2,4.04,352,1
Ole Miss @ Arkansas: 37-33,0,-1.71,-137,0
Tulsa @ Arkansas: 0-23,0,0.54,67,1
Auburn @ Ole Miss: 31-16,0,-1.92,-37,0
Mississippi State @ Ole Miss: 35-3,3,-2.59,-231,0
Georgia Tech @ Georgia: 21-45,1,3.68,228,1
Colorado State @ Florida: 10-48,-2,4.02,31,1
Middle Tennessee @ Kentucky: 23-34,-2,0.48,-68,1
