info,to_margin,ypp_margin,yds_margin,result
Western Michigan @ Michigan State: 14-28,1,3.43,262,1
Eastern Michigan @ Rutgers: 16-13,1,-0.4,-48,0
Nebraska @ Oregon: 35-42,-2,2.19,205,1
Western Kentucky @ Illinois: 7-20,-1,-0.14,56,1
Minnesota @ Oregon State: 48-14,2,-2.14,-186,0
Illinois @ South Florida: 23-47,-2,0.5,326,1
Georgia State @ Penn State: 0-56,-5,5.97,206,1
Air Force @ Michigan: 13-29,0,1.52,127,1
Army @ Ohio State: 7-38,-1,4.28,308,1
Wisconsin @ BYU: 40-6,2,-3.05,-299,0
Northern Illinois @ Nebraska: 21-17,2,0.68,171,0
Morgan State @ Rutgers: 0-65,-3,4.13,333,1
Middle Tennessee @ Minnesota: 3-34,-2,1.24,113,1
North Texas @ Iowa: 14-31,0,-1.57,130,1
Purdue @ Missouri: 35-3,2,-1.77,-274,0
UCF @ Maryland: 38-10,2,-3.17,-231,0
Bowling Green @ Northwestern: 7-49,1,4.41,326,1
Rutgers @ Nebraska: 17-27,0,0.53,112,1
Penn State @ Iowa: 21-19,-1,0.22,-306,0
Michigan @ Purdue: 28-10,-1,-1.86,-234,0
Georgia Southern @ Indiana: 17-52,-3,1.41,92,1
UNLV @ Ohio State: 21-54,1,3.58,400,1
Notre Dame @ Michigan State: 38-18,3,-0.08,141,0
Nebraska @ Illinois: 28-6,0,2.87,212,0
Indiana @ Penn State: 14-45,-3,0.54,18,1
Northwestern @ Wisconsin: 24-33,1,2.28,62,1
Ohio State @ Rutgers: 56-0,2,-6.16,-419,0
Maryland @ Minnesota: 31-24,2,-0.13,-107,0
Penn State @ Northwestern: 31-7,3,-1.19,-116,0
Iowa @ Michigan State: 10-17,-2,0.36,69,1
Michigan State @ Michigan: 14-10,5,-0.01,48,0
Wisconsin @ Nebraska: 38-17,1,-0.81,-85,0
Maryland @ Ohio State: 14-62,0,5.59,518,1
Illinois @ Iowa: 16-45,-2,0.18,-5,1
Minnesota @ Purdue: 17-31,2,2.2,111,1
Purdue @ Wisconsin: 9-17,2,2.94,273,1
Ohio State @ Nebraska: 56-14,1,-1.12,-240,0
Michigan @ Indiana: 27-20,2,-1.28,-51,0
Michigan State @ Minnesota: 30-27,-1,-0.45,-75,0
Rutgers @ Illinois: 35-24,0,-0.49,18,0
Northwestern @ Maryland: 37-21,-2,-0.78,-191,0
Michigan @ Penn State: 13-42,0,4.45,237,1
Maryland @ Wisconsin: 13-38,0,2.65,172,1
Indiana @ Michigan State: 9-17,1,0.05,22,1
Iowa @ Northwestern: 10-17,-1,-0.59,27,1
Purdue @ Rutgers: 12-14,-2,-1.63,-257,1
Illinois @ Minnesota: 17-24,1,0.34,55,1
Penn State @ Ohio State: 38-39,2,2.36,246,1
Wisconsin @ Illinois: 24-10,2,-0.27,-17,0
Michigan State @ Northwestern: 31-39,-1,-0.67,-108,1
